k_hMpc,Pk_K2
0.4396002223312573,923.4390543700772
0.45075815764934757,919.3707261861693
0.46219930374449875,915.1125802268414
0.4739308490742491,910.6567975586701
0.48596016455360586,905.9953462789873
0.4982948081861828,901.1199880967997
0.5109425298128838,896.0222867363038
0.5239112759811184,890.6936183594717
0.5372091949376071,885.1251842175236
0.5508446417479146,879.3080257544752
0.5648261835459265,873.2330423991498
0.5791626049165695,866.8910122948715
0.5938629134151538,860.2726162282315
0.6089363452268096,853.3684650295168
0.6243923709695699,846.1691307272578
0.6402407016447478,838.6651817474294
0.6564912947383466,830.8472224536459
0.6731543604773353,822.7059373276408
0.6902403682447215,814.2321400887575
0.7077600531574508,805.4168280463776
0.7257244228112681,796.2512419693282
0.7441447641967751,786.7269317404491
0.7630326507910327,776.8358280416363
0.7823999498291613,766.5703202837233
